date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,city
2021-06-26,-21.451612903225808,16.066666666666666,11.689655172413794,-50.41935483870968,-18.774193548387096,11.2,Sydney
2021-06-27,-46.58064516129032,-10.0,4.793103448275862,-64.19354838709677,-38.03225806451613,15.181818181818182,Sydney
2021-06-28,-41.064516129032256,-6.8,-20.551724137931036,-63.0,-49.3125,22.870967741935484,Sydney
2021-06-29,-42.16129032258065,-7.266666666666667,-44.96666666666667,-65.75,-51.46875,24.903225806451612,Sydney
2021-06-30,-41.25806451612903,-6.7,-26.413793103448278,-64.84375,-52.28125,23.0,Sydney
2021-07-01,-37.74193548387097,-3.6333333333333333,-3.206896551724138,-62.09375,-50.1875,24.93548387096774,Sydney
2021-07-02,-33.1875,3.8,8.96551724137931,-59.8125,-47.875,23.870967741935484,Sydney
2021-07-03,-34.9375,-2.0,40.62068965517241,-56.9375,-32.064516129032256,16.375,Sydney
2021-07-04,-35.774193548387096,-8.275862068965518,32.17857142857143,-59.0,-37.96774193548387,14.318181818181818,Sydney
2021-07-05,-33.16129032258065,-3.8333333333333335,11.241379310344827,-60.375,-47.78125,21.741935483870968,Sydney
2021-07-06,-32.38709677419355,-0.6,-1.6206896551724137,-61.65625,-48.84375,23.0,Sydney
2021-07-07,-32.67741935483871,0.4,1.6551724137931034,-61.21875,-48.9375,23.483870967741936,Sydney
2021-05-23,-5.387096774193548,4.433333333333334,15.419354838709678,-23.166666666666668,-14.096774193548388,1.3103448275862069,Melbourne
2021-05-24,-13.870967741935484,6.933333333333334,-7.387096774193548,-31.70967741935484,-15.838709677419354,6.516129032258065,Melbourne
2021-05-25,-19.419354838709676,2.129032258064516,-41.225806451612904,-35.064516129032256,-16.64516129032258,8.32258064516129,Melbourne
2021-05-26,-17.258064516129032,7.838709677419355,-25.774193548387096,-38.03225806451613,-21.0,9.96774193548387,Melbourne
2021-05-27,-7.774193548387097,21.6,-33.32258064516129,-43.70967741935484,-20.806451612903224,9.096774193548388,Melbourne
2021-05-28,-51.45161290322581,-6.193548387096774,-25.806451612903224,-69.12903225806451,-47.38709677419355,26.161290322580644,Melbourne
2021-05-29,-54.45161290322581,-6.366666666666666,-20.64516129032258,-67.90322580645162,-35.774193548387096,21.551724137931036,Melbourne
2021-05-30,-51.29032258064516,-12.1,-0.12903225806451613,-65.7741935483871,-40.16129032258065,17.20689655172414,Melbourne
2021-05-31,-45.58064516129032,-6.8,-1.2903225806451613,-67.29032258064517,-46.83870967741935,21.806451612903224,Melbourne
2021-06-01,-46.0,-4.354838709677419,-27.483870967741936,-69.7741935483871,-49.225806451612904,24.193548387096776,Melbourne
2021-06-02,-42.935483870967744,1.3225806451612903,-2.3870967741935485,-67.2258064516129,-48.516129032258064,23.741935483870968,Melbourne
2021-06-03,-43.935483870967744,-0.9,4.666666666666667,-68.19354838709677,-46.87096774193548,24.193548387096776,Melbourne
2021-06-04,-41.96774193548387,6.032258064516129,-22.870967741935484,-65.87096774193549,-41.58064516129032,24.161290322580644,Melbourne
2021-06-05,-45.45161290322581,4.1,-12.129032258064516,-64.3225806451613,-31.93548387096774,19.620689655172413,Melbourne
2021-06-06,-46.25806451612903,-3.6666666666666665,-8.451612903225806,-64.64516129032258,-37.58064516129032,16.551724137931036,Melbourne
2021-06-07,-42.70967741935484,-2.433333333333333,-14.709677419354838,-64.54838709677419,-41.193548387096776,20.387096774193548,Melbourne
2021-06-08,-45.806451612903224,-3.4193548387096775,-53.225806451612904,-69.25806451612904,-44.193548387096776,23.838709677419356,Melbourne
2021-06-09,-47.83870967741935,-8.870967741935484,-64.3225806451613,-69.74193548387096,-44.16129032258065,24.419354838709676,Melbourne
2021-06-10,-44.225806451612904,-1.9,-35.806451612903224,-67.61290322580645,-43.0,22.548387096774192,Melbourne
2021-06-11,-9.935483870967742,14.483870967741936,-4.258064516129032,-50.58064516129032,-27.741935483870968,13.483870967741936,Melbourne
